payload_id,launch_id,payload_name,payload_type,mass_kg,target_orbit,customer_id,deployment_status,manufacturer
PL-0044,SX-0044,USSF-02-PL,Satellite - Commercial,6021,GTO,C010,Deployed,SpaceX
PL-0045,SX-0045,USSF-09-PL,Satellite - Commercial,5913,GTO,C009,Deployed,Boeing
PL-0046,SX-0046,GPS-32-PL,Satellite - Commercial,6610,GEO,C008,Deployed,Maxar
PL-0047,SX-0047,Intelsat-57-PL,Satellite - Commercial,6280,GEO,C010,Lost,SpaceX
PL-0048,SX-0048,Dragon-28-PL,Satellite - Commercial,2812,GTO,C006,Deployed,Thales Alenia
PL-0049,SX-0049,Iridium NEXT-77-PL,Satellite - Government,4846,SSO,C003,Deployed,Thales Alenia
PL-0050,SX-0050,Transporter-81-PL,Satellite - Commercial,3912,GEO,C006,Deployed,Thales Alenia
PL-0051,SX-0051,GPS-08-PL,Satellite - Commercial,4176,GTO,C009,Deployed,Thales Alenia
PL-0052,SX-0052,AsiaSat-70-PL,Satellite - Commercial,5297,GEO,C009,Deployed,Northrop Grumman
PL-0053,SX-0053,USSF-74-PL,Satellite - Commercial,3875,MEO,C009,Deployed,Northrop Grumman
PL-0054,SX-0054,Intelsat-36-PL,Satellite - Commercial,6251,MEO,C010,Deployed,Planet Labs
PL-0055,SX-0055,OneWeb-86-PL,Satellite - Commercial,5345,GEO,C008,Lost,Thales Alenia
PL-0056,SX-0056,Intelsat-12-PL,Satellite - Commercial,6506,GTO,C009,Deployed,Thales Alenia
PL-0057,SX-0057,USSF-70-PL,Satellite - Commercial,2009,MEO,C012,Lost,Boeing
PL-0058,SX-0058,Crew-35-PL,Satellite - Commercial,5621,GTO,C010,Lost,Maxar
PL-0059,SX-0059,Iridium NEXT-21-PL,Satellite - Commercial,6987,GTO,C009,Deployed,Boeing
PL-0060,SX-0060,USSF-20-PL,Science Probe,5780,TLI,C001,Lost,Thales Alenia
PL-0061,SX-0061,Intelsat-71-PL,Satellite - Commercial,5868,GTO,C010,Deployed,Planet Labs
PL-0062,SX-0062,Arabsat-65-PL,Satellite - Commercial,5399,GEO,C012,Deployed,SpaceX
PL-0063,SX-0063,Intelsat-69-PL,Satellite - Commercial,6011,GTO,C008,Lost,Northrop Grumman
PL-0064,SX-0064,SES-30-PL,Satellite - Commercial,3956,MEO,C009,Lost,Airbus
PL-0065,SX-0065,NROL-17-PL,Satellite - Commercial,-3246,GEO,C008,Deployed,Northrop Grumman
PL-0066,SX-0066,NROL-93-PL,Satellite - Commercial,6308,GEO,C012,Lost,Northrop Grumman
PL-0067,SX-0067,GPS-43-PL,Science Probe,7105,TLI,C001,Deployed,SpaceX
PL-0068,SX-0068,Dragon-88-PL,Satellite - Commercial,2560,GTO,C006,Lost,SpaceX
PL-0069,SX-0069,CRS-89-PL,Satellite - Commercial,2823,GEO,C009,Deployed,Northrop Grumman
PL-0070,SX-0070,AsiaSat-53-PL,Satellite - Commercial,3192,GTO,C006,Deployed,Airbus
PL-0071,SX-0071,Arabsat-75-PL,Satellite - Government,3472,SSO,C003,Deployed,Planet Labs
PL-0072,SX-0072,Dragon-70-PL,Satellite - Commercial,5811,GEO,C015,Deployed,Thales Alenia
PL-0073,SX-0073,SES-62-PL,Satellite - Commercial,4474,GTO,C009,Deployed,Thales Alenia
PL-0074,SX-0074,NROL-73-PL,Satellite - Commercial,5242,GEO,C009,Deployed,Thales Alenia
PL-0075,SX-0075,Dragon-25-PL,Satellite - Commercial,4886,GTO,C015,Deployed,SpaceX
PL-0076,SX-0076,OneWeb-94-PL,Starlink Batch,16373,LEO,C002,Deployed,Northrop Grumman
PL-0077,SX-0077,AsiaSat-65-PL,Satellite - Commercial,6418,GEO,C010,Deployed,Maxar
PL-0078,SX-0078,GPS-19-PL,Satellite - Commercial,2943,GEO,C015,Deployed,Planet Labs
PL-0079,SX-0079,Intelsat-48-PL,Satellite - Commercial,6395,GTO,C010,Deployed,SpaceX
PL-0080,SX-0080,Arabsat-72-PL,Satellite - Commercial,2205,MEO,C012,Deployed,Maxar
PL-0081,SX-0081,GPS-18-PL,Starlink Batch,15672,LEO,C002,Lost,Boeing
PL-0082,SX-0082,Intelsat-48-PL,Satellite - Commercial,3111,GEO,C015,Deployed,Maxar
PL-0083,SX-0083,NROL-89-PL,Satellite - Government,-4843,SSO,C003,Deployed,Northrop Grumman
PL-0084,SX-0084,Arabsat-83-PL,Starlink Batch,16230,LEO,C002,Deployed,Thales Alenia
PL-0085,SX-0085,Dragon-28-PL,Starlink Batch,14375,LEO,C002,Lost,Maxar
PL-0086,SX-0086,Crew-76-PL,Cargo (Dragon),6625,TLI,C001,Deployed,SpaceX
PL-0087,SX-0087,CRS-70-PL,Satellite - Commercial,4271,GTO,C006,Deployed,Airbus
PL-0088,SX-0088,CRS-34-PL,Science Probe,3949,LEO,C001,Deployed,Planet Labs
PL-0089,SX-0089,O3b-14-PL,Starlink Batch,16102,LEO,C002,Deployed,Airbus
PL-0090,SX-0090,SES-88-PL,Science Probe,2498,ISS,C001,Deployed,SpaceX
PL-0091,SX-0091,Starlink-80-PL,Starlink Batch,14516,LEO,C002,Deployed,Planet Labs
PL-0092,SX-0092,GPS-84-PL,Satellite - Government,2312,GTO,C013,Deployed,Thales Alenia
PL-0093,SX-0093,USSF-59-PL,Starlink Batch,15388,LEO,C002,Deployed,Maxar
PL-0094,SX-0094,Arabsat-61-PL,Satellite - Commercial,3250,MEO,C006,Deployed,SpaceX
PL-0095,SX-0095,CRS-72-PL,Starlink Batch,17325,LEO,C002,Deployed,Northrop Grumman
PL-0096,SX-0096,NROL-37-PL,Satellite - Commercial,5464,MEO,C006,Deployed,Northrop Grumman
PL-0097,SX-0097,OneWeb-72-PL,Starlink Batch,14443,LEO,C002,Deployed,Maxar
PL-0098,SX-0098,O3b-79-PL,Starlink Batch,17352,LEO,C002,Deployed,Planet Labs
PL-0099,SX-0099,OneWeb-01-PL,Satellite - Government,4031,SSO,C003,Deployed,Boeing
PL-0100,SX-0100,Iridium NEXT-68-PL,Satellite - Government,1751,MEO,C013,Deployed,Boeing
PL-0101,SX-0101,GPS-07-PL,Satellite - Commercial,6649,MEO,C006,Deployed,Airbus
PL-0102,SX-0102,Starlink-28-PL,Science Probe,5978,ISS,C001,Deployed,Thales Alenia
PL-0103,SX-0103,Dragon-40-PL,Starlink Batch,16158,LEO,C002,Deployed,Airbus
PL-0104,SX-0104,OneWeb-16-PL,Science Probe,3124,ISS,C001,Deployed,Thales Alenia
PL-0105,SX-0105,AsiaSat-86-PL,Starlink Batch,16049,LEO,C002,Deployed,Thales Alenia
PL-0106,SX-0106,SES-74-PL,Satellite - Government,4064,GTO,C013,Deployed,SpaceX
PL-0107,SX-0107,Intelsat-89-PL,Satellite - Government,2907,GTO,C003,Deployed,Thales Alenia
PL-0108,SX-0108,USSF-40-PL,Starlink Batch,15621,LEO,C002,Deployed,SpaceX
PL-0109,SX-0109,OneWeb-45-PL,Starlink Batch,17179,LEO,C002,Deployed,Thales Alenia
PL-0110,SX-0110,CRS-98-PL,Starlink Batch,16467,LEO,C002,Deployed,Northrop Grumman
PL-0111,SX-0111,OneWeb-20-PL,Satellite - Commercial,4647,MEO,C015,Deployed,SpaceX
PL-0112,SX-0112,Starlink-60-PL,Starlink Batch,14303,LEO,C002,Deployed,Maxar
PL-0113,SX-0113,O3b-77-PL,Starlink Batch,14369,LEO,C002,Deployed,Thales Alenia
PL-0114,SX-0114,O3b-61-PL,Satellite - Commercial,3542,GEO,C008,Deployed,Maxar
PL-0115,SX-0115,Dragon-23-PL,Satellite - Commercial,2690,MEO,C015,Deployed,Planet Labs
PL-0116,SX-0116,Transporter-44-PL,Satellite - Commercial,5173,GEO,C015,Deployed,Planet Labs
PL-0117,SX-0117,Starlink-93-PL,Starlink Batch,15163,LEO,C002,Deployed,Thales Alenia
PL-0118,SX-0118,OneWeb-40-PL,Starlink Batch,17754,,C002,Deployed,SpaceX
PL-0119,SX-0119,OneWeb-17-PL,Starlink Batch,17242,LEO,C002,Deployed,Northrop Grumman
PL-0120,SX-0120,CRS-28-PL,Starlink Batch,15265,LEO,C002,Deployed,Northrop Grumman
PL-0121,SX-0121,USSF-13-PL,Starlink Batch,15211,LEO,C002,Lost,Maxar
PL-0122,SX-0122,CRS-89-PL,Cargo (Dragon),6892,LEO,C001,Deployed,Maxar
PL-0123,SX-0123,O3b-37-PL,Satellite - Commercial,3945,GEO,C015,Deployed,Airbus
PL-0124,SX-0124,O3b-57-PL,Starlink Batch,16778,LEO,C002,Lost,Airbus
PL-0125,SX-0125,USSF-33-PL,Satellite - Commercial,6953,GTO,C008,Lost,Planet Labs
PL-0126,SX-0126,GPS-98-PL,Satellite - Commercial,3021,GEO,C008,Deployed,Boeing
PL-0127,SX-0127,Intelsat-45-PL,Starlink Batch,17345,LEO,C002,Deployed,Airbus
PL-0128,SX-0128,NROL-41-PL,Satellite - Commercial,5071,GTO,C008,Deployed,SpaceX
PL-0129,SX-0129,Iridium NEXT-18-PL,Starlink Batch,15935,LEO,C002,Deployed,Airbus
PL-0130,SX-0130,O3b-68-PL,Science Probe,3224,TLI,C001,Deployed,SpaceX
PL-0131,SX-0131,Transporter-80-PL,Starlink Batch,16617,LEO,C002,Deployed,Thales Alenia
PL-0132,SX-0132,SES-01-PL,Satellite - Commercial,3176,GEO,C008,Deployed,SpaceX
PL-0133,SX-0133,AsiaSat-70-PL,Satellite - Government,4454,MEO,C013,Deployed,SpaceX
PL-0134,SX-0134,Starlink-96-PL,Satellite - Commercial,5169,GEO,C008,Deployed,SpaceX
PL-0135,SX-0135,NROL-46-PL,Satellite - Government,4223,MEO,C003,Deployed,Boeing
PL-0136,SX-0136,Transporter-59-PL,Satellite - Commercial,2516,MEO,C015,Deployed,Airbus
PL-0137,SX-0137,USSF-70-PL,Starlink Batch,15631,LEO,C002,Deployed,Airbus
PL-0138,SX-0138,OneWeb-35-PL,Starlink Batch,16685,LEO,C002,Deployed,Maxar
PL-0139,SX-0139,Iridium NEXT-64-PL,Satellite - Government,3030,SSO,C013,Deployed,Boeing
PL-0140,SX-0140,USSF-24-PL,Starlink Batch,16467,LEO,C002,Deployed,Boeing
PL-0141,SX-0141,Iridium NEXT-55-PL,Starlink Batch,16468,LEO,C002,Deployed,Boeing
PL-0142,SX-0142,Dragon-08-PL,Satellite - Government,5063,SSO,C013,Deployed,Maxar
PL-0143,SX-0143,Dragon-57-PL,Starlink Batch,16488,LEO,C002,Lost,Northrop Grumman
PL-0144,SX-0144,CRS-87-PL,Satellite - Commercial,2265,,C012,Deployed,Boeing
PL-0145,SX-0145,Dragon-36-PL,Satellite - Government,4760,SSO,C013,Deployed,Boeing
PL-0146,SX-0146,Starlink-34-PL,Starlink Batch,14482,LEO,C002,Deployed,Planet Labs
PL-0147,SX-0147,Intelsat-23-PL,Starlink Batch,14303,LEO,C002,Deployed,Maxar
PL-0148,SX-0148,Starlink-39-PL,Satellite - Commercial,6505,MEO,C012,Deployed,Northrop Grumman
PL-0149,SX-0149,Transporter-18-PL,Satellite - Commercial,2994,GTO,C012,Deployed,Planet Labs
PL-0150,SX-0150,O3b-12-PL,Starlink Batch,14531,LEO,C002,Deployed,Boeing
PL-0151,SX-0151,OneWeb-83-PL,Satellite - Government,2104,MEO,C013,Deployed,Boeing
PL-0152,SX-0152,O3b-24-PL,Satellite - Commercial,6516,MEO,C015,Deployed,Thales Alenia
PL-0153,SX-0153,Iridium NEXT-29-PL,Starlink Batch,17828,LEO,C002,Deployed,Northrop Grumman
PL-0154,SX-0154,Starlink-17-PL,Starlink Batch,16256,LEO,C002,Deployed,Airbus
PL-0155,SX-0155,Dragon-80-PL,Starlink Batch,14701,LEO,C002,Deployed,Boeing
PL-0156,SX-0156,Transporter-74-PL,Satellite - Commercial,2372,MEO,C008,Lost,SpaceX
PL-0157,SX-0157,Starlink-62-PL,Satellite - Government,3872,GTO,C003,Deployed,Maxar
PL-0158,SX-0158,SES-62-PL,Satellite - Government,2794,SSO,C003,Deployed,Thales Alenia
PL-0159,SX-0159,OneWeb-52-PL,Starlink Batch,17525,LEO,C002,Deployed,Airbus
PL-0160,SX-0160,Crew-19-PL,Satellite - Commercial,4191,GEO,C015,Deployed,Airbus
PL-0161,SX-0161,Arabsat-74-PL,Satellite - Commercial,3308,GEO,C008,Deployed,SpaceX
PL-0162,SX-0162,SES-65-PL,Satellite - Government,1689,MEO,C013,Deployed,Thales Alenia
PL-0163,SX-0163,Dragon-61-PL,Satellite - Commercial,6894,MEO,C008,Deployed,Maxar
PL-0164,SX-0164,NROL-52-PL,Satellite - Government,4803,SSO,C003,Deployed,SpaceX
PL-0165,SX-0165,AsiaSat-36-PL,Starlink Batch,17130,LEO,C002,Deployed,Airbus
PL-0166,SX-0166,AsiaSat-47-PL,Starlink Batch,15388,LEO,C002,Deployed,Airbus
PL-0167,SX-0167,AsiaSat-59-PL,Satellite - Government,4228,SSO,C003,Deployed,Northrop Grumman
PL-0168,SX-0168,O3b-95-PL,Starlink Batch,15609,LEO,C002,Lost,Planet Labs
PL-0169,SX-0169,OneWeb-87-PL,Satellite - Commercial,2136,GEO,C015,Deployed,Airbus
PL-0170,SX-0170,Transporter-75-PL,Starlink Batch,16685,LEO,C002,Deployed,Boeing
PL-0171,SX-0171,USSF-88-PL,Satellite - Commercial,5114,GTO,C008,Deployed,Boeing
PL-0172,SX-0172,SES-89-PL,Starlink Batch,14620,LEO,C002,Deployed,SpaceX
PL-0173,SX-0173,Intelsat-68-PL,Satellite - Government,4162,GTO,C013,Deployed,Thales Alenia
PL-0174,SX-0174,Intelsat-25-PL,Satellite - Government,3665,GTO,C013,Deployed,Planet Labs
PL-0175,SX-0175,Iridium NEXT-63-PL,Starlink Batch,16827,LEO,C002,Deployed,Thales Alenia
PL-0176,SX-0176,Arabsat-51-PL,Starlink Batch,15555,LEO,C002,Deployed,Planet Labs
PL-0177,SX-0177,Arabsat-57-PL,Starlink Batch,15418,,C002,Deployed,Maxar
PL-0178,SX-0178,Iridium NEXT-35-PL,Starlink Batch,16302,LEO,C002,Deployed,Maxar
PL-0179,SX-0179,Dragon-30-PL,Satellite - Commercial,6350,GTO,C008,Deployed,Planet Labs
PL-0180,SX-0180,Dragon-61-PL,Satellite - Government,2793,SSO,C013,Deployed,Northrop Grumman
PL-0181,SX-0181,Dragon-74-PL,Starlink Batch,14366,LEO,C002,Deployed,Thales Alenia
PL-0182,SX-0182,Transporter-64-PL,Science Probe,2297,ISS,C001,Deployed,Northrop Grumman
PL-0183,SX-0183,AsiaSat-68-PL,Cargo (Dragon),4744,TLI,C001,Deployed,Maxar
PL-0184,SX-0184,Iridium NEXT-59-PL,Satellite - Commercial,4708,GTO,C015,Deployed,Airbus
PL-0185,SX-0185,Arabsat-52-PL,Cargo (Dragon),3582,TLI,C001,Deployed,SpaceX
PL-0186,SX-0186,NROL-34-PL,Satellite - Government,4150,MEO,C003,Deployed,Northrop Grumman
PL-0187,SX-0187,Dragon-47-PL,Starlink Batch,15071,LEO,C002,Deployed,Airbus
PL-0188,SX-0188,Arabsat-91-PL,Starlink Batch,16058,LEO,C002,Deployed,Northrop Grumman
PL-0189,SX-0189,Intelsat-20-PL,Starlink Batch,14547,LEO,C002,Deployed,Northrop Grumman
PL-0190,SX-0190,AsiaSat-86-PL,Starlink Batch,17102,LEO,C002,Deployed,Maxar
PL-0191,SX-0191,Arabsat-73-PL,Satellite - Commercial,4963,GTO,C008,Deployed,SpaceX
PL-0192,SX-0192,Intelsat-15-PL,Satellite - Commercial,4687,MEO,C015,Deployed,SpaceX
PL-0193,SX-0193,CRS-66-PL,Satellite - Government,1955,SSO,C013,Deployed,SpaceX
PL-0194,SX-0194,Starlink-01-PL,Satellite - Commercial,2178,GEO,C015,Deployed,Northrop Grumman
PL-0195,SX-0195,Arabsat-61-PL,Satellite - Government,1993,MEO,C003,Deployed,Maxar
PL-0196,SX-0196,USSF-49-PL,Starlink Batch,15837,LEO,C002,Deployed,Northrop Grumman
PL-0197,SX-0197,SES-68-PL,Satellite - Commercial,3462,MEO,C015,Deployed,SpaceX
PL-0198,SX-0198,SES-30-PL,Science Probe,7890,TLI,C001,Lost,SpaceX
PL-0199,SX-0199,NROL-85-PL,Starlink Batch,14462,LEO,C002,Lost,Northrop Grumman
PL-0200,SX-0200,O3b-87-PL,Starlink Batch,15828,LEO,C002,Deployed,Thales Alenia
PL-0201,SX-0201,Crew-94-PL,Cargo (Dragon),2462,ISS,C001,Deployed,Thales Alenia
PL-0202,SX-0202,SES-39-PL,Satellite - Commercial,6270,GTO,C012,Deployed,Maxar
PL-0203,SX-0203,Dragon-86-PL,Starlink Batch,15410,LEO,C002,Deployed,Northrop Grumman
PL-0204,SX-0204,AsiaSat-61-PL,Starlink Batch,17090,LEO,C002,Deployed,Airbus
PL-0205,SX-0205,SES-72-PL,Starlink Batch,17964,LEO,C002,Deployed,Planet Labs
PL-0206,SX-0206,USSF-48-PL,Starlink Batch,15842,LEO,C002,Deployed,Boeing
PL-0207,SX-0207,NROL-10-PL,Starlink Batch,16469,LEO,C002,Deployed,Maxar
PL-0208,SX-0208,Arabsat-02-PL,Satellite - Commercial,4727,GEO,C012,Deployed,Thales Alenia
PL-0209,SX-0209,Crew-51-PL,Starlink Batch,16882,LEO,C002,Deployed,Thales Alenia
PL-0210,SX-0210,Starlink-47-PL,Starlink Batch,15263,LEO,C002,Deployed,Maxar
PL-0211,SX-0211,OneWeb-41-PL,Starlink Batch,14832,LEO,C002,Deployed,Thales Alenia
PL-0212,SX-0212,O3b-93-PL,Starlink Batch,16392,LEO,C002,Deployed,Airbus
PL-0213,SX-0213,AsiaSat-84-PL,Starlink Batch,16045,LEO,C002,Deployed,Thales Alenia
PL-0214,SX-0214,CRS-93-PL,Satellite - Government,4385,MEO,C003,Deployed,Boeing
PL-0215,SX-0215,NROL-98-PL,Satellite - Commercial,2608,MEO,C012,Deployed,Boeing
PL-0216,SX-0216,Intelsat-48-PL,Satellite - Commercial,-1200,MEO,C012,Deployed,Northrop Grumman
PL-0217,SX-0217,SES-02-PL,Satellite - Commercial,6359,MEO,C015,Deployed,Planet Labs
PL-0218,SX-0218,GPS-13-PL,Satellite - Government,5027,MEO,C013,Deployed,Planet Labs
PL-0219,SX-0219,OneWeb-52-PL,Satellite - Commercial,5251,GTO,C015,Deployed,Planet Labs
PL-0220,SX-0220,USSF-84-PL,Starlink Batch,16677,LEO,C002,Deployed,Airbus
PL-0221,SX-0221,CRS-11-PL,Starlink Batch,16878,LEO,C002,Deployed,Thales Alenia
PL-0222,SX-0222,AsiaSat-06-PL,Starlink Batch,17665,LEO,C002,Lost,TBD
PL-0223,SX-0223,O3b-85-PL,Satellite - Commercial,4296,MEO,C015,Deployed,Maxar
PL-0224,SX-0224,USSF-92-PL,Starlink Batch,17081,LEO,C002,Lost,Northrop Grumman
PL-0225,SX-0225,Dragon-70-PL,Starlink Batch,15593,LEO,C002,Deployed,Boeing
PL-0226,SX-0226,GPS-56-PL,Starlink Batch,14219,LEO,C002,Deployed,SpaceX
PL-0227,SX-0227,Dragon-35-PL,Satellite - Commercial,4673,GTO,C015,Lost,Maxar
PL-0228,SX-0228,Transporter-80-PL,Satellite - Government,4613,MEO,C013,Deployed,Planet Labs
PL-0229,SX-0229,Dragon-20-PL,Starlink Batch,17210,LEO,C002,Deployed,Maxar
PL-0230,SX-0230,Transporter-35-PL,Starlink Batch,15474,LEO,C002,Deployed,Thales Alenia
PL-0231,SX-0231,NROL-12-PL,Starlink Batch,14423,LEO,C002,Deployed,Boeing
PL-0232,SX-0232,Transporter-11-PL,Satellite - Commercial,5389,GEO,C015,Deployed,Planet Labs
PL-0233,SX-0233,Starlink-35-PL,Satellite - Commercial,3137,GEO,C015,Deployed,Maxar
PL-0234,SX-0234,OneWeb-33-PL,Starlink Batch,14315,LEO,C002,Deployed,Planet Labs
PL-0235,SX-0235,SES-43-PL,Satellite - Commercial,4495,GTO,C015,Deployed,Thales Alenia
PL-0236,SX-0236,Dragon-77-PL,Starlink Batch,17520,LEO,C002,Deployed,Northrop Grumman
PL-0237,SX-0237,OneWeb-38-PL,Starlink Batch,17967,LEO,C002,Deployed,Airbus
PL-0238,SX-0238,GPS-73-PL,Satellite - Commercial,5218,GEO,C015,Deployed,Planet Labs
PL-0239,SX-0239,Iridium NEXT-27-PL,Starlink Batch,17862,LEO,C002,Deployed,Boeing
PL-0240,SX-0240,Crew-33-PL,Starlink Batch,15240,LEO,C002,Deployed,Northrop Grumman
PL-0241,SX-0241,SES-69-PL,Starlink Batch,16384,LEO,C002,Deployed,Thales Alenia
PL-0242,SX-0242,Arabsat-69-PL,Starlink Batch,16873,LEO,C002,Deployed,Airbus
PL-0243,SX-0243,O3b-06-PL,Starlink Batch,16650,LEO,C002,Deployed,Maxar
PL-0244,SX-0244,NROL-13-PL,Satellite - Commercial,5526,GTO,C012,Lost,Northrop Grumman
PL-0245,SX-0245,SES-60-PL,Satellite - Government,5151,SSO,C013,Deployed,Maxar
PL-0246,SX-0246,SES-11-PL,Starlink Batch,15210,LEO,C002,Lost,Maxar
PL-0247,SX-0247,AsiaSat-62-PL,Starlink Batch,14847,LEO,C002,Deployed,Airbus
PL-0248,SX-0248,USSF-44-PL,Satellite - Government,2442,MEO,C003,Lost,Airbus
PL-0249,SX-0249,AsiaSat-55-PL,Starlink Batch,15355,LEO,C002,Deployed,SpaceX
PL-0250,SX-0250,Iridium NEXT-79-PL,Satellite - Commercial,5240,GTO,C012,Deployed,SpaceX
PL-0251,SX-0251,Iridium NEXT-09-PL,Starlink Batch,17081,LEO,C002,Deployed,SpaceX
PL-0252,SX-0252,Dragon-63-PL,Satellite - Government,-500,SSO,C013,Deployed,Maxar
PL-0253,SX-0253,USSF-59-PL,Satellite - Commercial,4850,GEO,C015,Deployed,Planet Labs
PL-0254,SX-0254,GPS-31-PL,Starlink Batch,15282,LEO,C002,Deployed,Maxar
PL-0255,SX-0255,SES-55-PL,Starlink Batch,16354,LEO,C002,Deployed,Airbus
PL-0256,SX-0256,OneWeb-58-PL,Satellite - Commercial,3149,,C012,Deployed,Thales Alenia
PL-0257,SX-0257,SES-88-PL,Science Probe,6600,ISS,C001,Deployed,Boeing
PL-0258,SX-0258,NROL-36-PL,Satellite - Government,3306,SSO,C003,Deployed,Maxar
PL-0259,SX-0259,O3b-15-PL,Satellite - Government,5684,MEO,C003,Deployed,SpaceX
PL-0260,SX-0260,Intelsat-70-PL,Starlink Batch,16944,LEO,C002,Deployed,Airbus
PL-0261,SX-0261,OneWeb-12-PL,Satellite - Commercial,5684,GEO,C012,Lost,Northrop Grumman
PL-0262,SX-0262,USSF-91-PL,Starlink Batch,15436,LEO,C002,Deployed,Planet Labs
PL-0263,SX-0263,OneWeb-69-PL,Satellite - Commercial,2486,MEO,C015,Deployed,Planet Labs
PL-0264,SX-0264,AsiaSat-87-PL,Starlink Batch,17514,LEO,C002,Deployed,Northrop Grumman
PL-0265,SX-0265,Iridium NEXT-17-PL,Starlink Batch,14519,LEO,C002,Lost,TBD
