FeedbackID,VisitID,FacilityID,FacilityName,SubmissionDate,FeedbackComments
84,792,1,Mercy General,2022-02-05,"Parking nearby, warm and friendly team"
85,4690,6,Sacramento Valley Hospital,2022-07-18,"Average visit, parking was fine"
86,30173,4,Cascade Specialty Center,2024-12-05,"No wait at all, extremely friendly service"
87,28603,1,Mercy General,2024-10-23,"Wait was typical, staff was okay"
88,26584,6,Sacramento Valley Hospital,2024-08-17,"Parking available, wait was acceptable"
89,31222,1,Mercy General,2024-12-21,"Great care, friendly staff and easy parking"
90,20589,2,Pacific Medical,2024-02-11,Parking was limited but wait was short
91,18986,5,Marina Clinic,2023-12-28,"Wait was typical, staff was okay"
92,20698,1,Mercy General,2024-02-16,"Good care overall, parking could improve"
93,30108,1,Mercy General,2024-12-01,"Parking nearby, warm and friendly team"
94,38992,1,Mercy General,2025-07-27,Parking was limited but wait was short
95,13163,1,Mercy General,2023-06-11,"Parking available, wait was acceptable"
96,5736,5,Marina Clinic,2022-09-06,"Friendly and fast, excellent experience"
97,9950,2,Pacific Medical,2023-02-11,"Decent experience, wait a bit long"
98,6709,1,Mercy General,2022-10-21,"Parking available, wait was acceptable"
99,28252,1,Mercy General,2024-10-14,Friendly staff but parking was difficult
100,39336,1,Mercy General,2025-08-10,"Friendly front desk, minimal wait time"
101,15951,2,Pacific Medical,2023-09-29,"Parking nearby, warm and friendly team"
102,16491,2,Pacific Medical,2023-10-21,"Parking available, wait was acceptable"
103,9797,2,Pacific Medical,2023-02-03,Friendly nurses throughout my stay
104,16682,3,Cascade Urgent Care,2023-10-24,"Average visit, parking was fine"
105,8099,2,Pacific Medical,2022-12-12,"Great care, friendly staff and easy parking"
106,39248,6,Sacramento Valley Hospital,2025-08-08,"Wait was typical, staff was okay"
107,9512,1,Mercy General,2023-01-23,Wait was short and staff very friendly
108,33423,2,Pacific Medical,2025-02-18,"Not enough parking, had to wait a long time"
109,37072,2,Pacific Medical,2025-06-02,"Good experience, moderate wait time"
110,18257,1,Mercy General,2023-12-13,Parking took a while but staff friendly
111,37291,1,Mercy General,2025-06-07,"Decent experience, wait a bit long"
112,12517,1,Mercy General,2023-05-16,"Staff professional, some wait time"
113,30024,1,Mercy General,2024-11-29,"Wait was manageable, friendly team"
114,18539,5,Marina Clinic,2023-12-20,"Friendly care team, parking was convenient"
115,492,1,Mercy General,2022-01-22,Friendly staff made the visit very comfortable
116,34494,1,Mercy General,2025-03-20,"Decent experience, wait a bit long"
117,16381,7,Emerald Urgent Care,2023-10-18,"Parking nearby, warm and friendly team"
118,21942,3,Cascade Urgent Care,2024-03-27,"Parking near entrance, wait was average"
119,7899,6,Sacramento Valley Hospital,2022-12-03,"Staff professional, some wait time"
120,8145,1,Mercy General,2022-12-15,"Friendly and fast, excellent experience"
121,23018,1,Mercy General,2024-05-02,"Staff professional, some wait time"
122,25003,5,Marina Clinic,2024-06-29,"Very friendly doctors, would recommend"
123,3965,2,Pacific Medical,2022-06-22,"Average visit, parking was fine"
124,31373,5,Marina Clinic,2024-12-23,"Friendly doctor, clean and welcoming facility"
125,22544,1,Mercy General,2024-04-13,"Friendly doctor, clean and welcoming facility"
126,4459,4,Cascade Specialty Center,2022-07-08,Wait was short and staff very friendly
127,39416,3,Cascade Urgent Care,2025-08-15,Staff was friendly and professional
128,26851,1,Mercy General,2024-08-28,"No wait at all, extremely friendly service"
129,9422,2,Pacific Medical,2023-01-22,"Friendly and fast, excellent experience"
130,44321,4,Cascade Specialty Center,2025-12-21,Staff was friendly and professional
131,28814,2,Pacific Medical,2024-10-24,"Quick service, very friendly nursing staff"
132,38443,2,Pacific Medical,2025-07-16,"Good experience, moderate wait time"
133,37013,1,Mercy General,2025-06-04,"Good care overall, parking could improve"
134,4830,1,Mercy General,2022-07-28,"Parking nearby, warm and friendly team"
135,17469,1,Mercy General,2023-11-22,"Parking near entrance, wait was average"
136,36691,4,Cascade Specialty Center,2025-05-24,"Wait was typical, staff was okay"
137,20894,1,Mercy General,2024-02-24,"Parking near entrance, wait was average"
138,35609,4,Cascade Specialty Center,2025-04-20,Parking was easy and the staff was friendly
139,28081,2,Pacific Medical,2024-10-10,"Staff professional, some wait time"
140,40132,2,Pacific Medical,2025-09-05,Parking took a while but staff friendly
141,27686,1,Mercy General,2024-09-22,Friendly staff made the visit very comfortable
142,42197,1,Mercy General,2025-11-06,"Friendly front desk, minimal wait time"
143,41218,5,Marina Clinic,2025-10-10,"Very friendly doctors, would recommend"
144,35857,7,Emerald Urgent Care,2025-05-01,"Wait was brief, friendly professional staff"
145,29203,5,Marina Clinic,2024-11-09,"Wait was typical, staff was okay"
146,7949,1,Mercy General,2022-12-04,"Friendly doctor, clean and welcoming facility"
147,5662,8,Spokane Specialty Center,2022-09-05,"Wait was manageable, friendly team"
148,17389,1,Mercy General,2023-11-19,Friendly staff but parking was difficult
149,33861,3,Cascade Urgent Care,2025-03-05,"Quick service, very friendly nursing staff"
150,20827,2,Pacific Medical,2024-02-23,"Decent experience, wait a bit long"
151,16767,6,Sacramento Valley Hospital,2023-10-30,"Friendly care team, parking was convenient"
152,35724,1,Mercy General,2025-04-26,"Friendly doctor, clean and welcoming facility"
153,44858,2,Pacific Medical,2026-01-01,"Friendly doctor, clean and welcoming facility"
154,27889,4,Cascade Specialty Center,2024-10-02,"Friendly front desk, minimal wait time"
155,11603,1,Mercy General,2023-04-11,Parking was limited but wait was short
156,8840,2,Pacific Medical,2023-01-02,"No wait at all, extremely friendly service"
157,30271,1,Mercy General,2024-12-09,"Parking available, wait was acceptable"
158,17378,1,Mercy General,2023-11-19,The team was friendly and attentive
159,30927,4,Cascade Specialty Center,2024-12-20,"Average visit, parking was fine"
160,44150,2,Pacific Medical,2025-12-20,"Wait was reasonable, parking was fine"
161,24211,2,Pacific Medical,2024-06-03,"Parking available, wait was acceptable"
162,35404,1,Mercy General,2025-04-14,Parking was easy and the staff was friendly
163,35055,8,Spokane Specialty Center,2025-04-05,"Friendly front desk, minimal wait time"
164,5840,5,Marina Clinic,2022-09-10,Parking was available and the care was great
165,38679,3,Cascade Urgent Care,2025-07-22,"Great care, friendly staff and easy parking"
166,28754,1,Mercy General,2024-10-24,"Good experience, moderate wait time"
167,2558,2,Pacific Medical,2022-04-20,"Staff professional, some wait time"
168,42058,5,Marina Clinic,2025-10-31,"Parking near entrance, wait was average"
169,9446,7,Emerald Urgent Care,2023-01-21,Friendly staff but parking was difficult
170,11003,3,Cascade Urgent Care,2023-03-23,"Wait was typical, staff was okay"
171,8191,2,Pacific Medical,2022-12-14,"Wait was brief, friendly professional staff"
172,8101,2,Pacific Medical,2022-12-12,"Friendly and fast, excellent experience"
173,40075,8,Spokane Specialty Center,2025-09-06,"Average visit, parking was fine"
174,10978,8,Spokane Specialty Center,2023-03-23,"Friendly nurses, wait could be shorter"
175,27270,1,Mercy General,2024-09-08,"Too much wait time, parking was stressful"
176,16953,1,Mercy General,2023-11-06,"Friendly and fast, excellent experience"
177,9690,1,Mercy General,2023-01-29,"Parking nearby, warm and friendly team"
178,20816,4,Cascade Specialty Center,2024-02-18,"Quick service, very friendly nursing staff"
179,36056,2,Pacific Medical,2025-05-08,Friendly staff made the visit very comfortable
180,12189,1,Mercy General,2023-05-06,"Quick service, very friendly nursing staff"
181,31918,1,Mercy General,2025-01-04,"Parking available, wait was acceptable"
182,14232,4,Cascade Specialty Center,2023-07-20,Parking was available and the care was great
183,7743,6,Sacramento Valley Hospital,2022-11-30,"Friendly nurses, wait could be shorter"
184,33971,4,Cascade Specialty Center,2025-03-09,"Friendly care team, parking was convenient"
185,14400,4,Cascade Specialty Center,2023-07-27,"Parking nearby, warm and friendly team"
186,6543,2,Pacific Medical,2022-10-14,"Average visit, parking was fine"
187,34920,1,Mercy General,2025-04-04,"Friendly care team, parking was convenient"
188,19004,1,Mercy General,2023-12-29,"Great care, friendly staff and easy parking"
189,31601,2,Pacific Medical,2025-01-01,"Quick service, very friendly nursing staff"
190,40066,5,Marina Clinic,2025-09-06,Parking was terrible and wait was unacceptable
191,20849,4,Cascade Specialty Center,2024-02-18,The team was friendly and attentive
192,29005,1,Mercy General,2024-11-02,"Staff professional, some wait time"
193,18510,6,Sacramento Valley Hospital,2023-12-21,"Parking was close, very friendly staff"
194,28675,2,Pacific Medical,2024-10-23,"Staff professional, some wait time"
195,22622,1,Mercy General,2024-04-19,"Friendly nurses, wait could be shorter"
196,5368,8,Spokane Specialty Center,2022-08-24,"Wait was typical, staff was okay"
197,14874,6,Sacramento Valley Hospital,2023-08-16,Friendly staff but parking was difficult
198,32292,6,Sacramento Valley Hospital,2025-01-18,"Great care, friendly staff and easy parking"
199,10133,1,Mercy General,2023-02-14,"Parking far away, wait over an hour"
200,11567,4,Cascade Specialty Center,2023-04-10,"Wait was typical, staff was okay"
201,12474,5,Marina Clinic,2023-05-15,"Friendly and fast, excellent experience"
202,27220,1,Mercy General,2024-09-12,"Quick service, very friendly nursing staff"
203,37923,6,Sacramento Valley Hospital,2025-06-29,"No wait at all, extremely friendly service"
204,29472,4,Cascade Specialty Center,2024-11-13,"Great care, friendly staff and easy parking"
205,16549,3,Cascade Urgent Care,2023-10-23,Parking took a while but staff friendly
206,40143,1,Mercy General,2025-09-04,"Parking was close, very friendly staff"
207,34813,1,Mercy General,2025-03-29,"Friendly nurses, wait could be shorter"
208,12455,2,Pacific Medical,2023-05-12,The team was friendly and attentive
209,6707,7,Emerald Urgent Care,2022-10-20,"Decent experience, wait a bit long"
210,2697,4,Cascade Specialty Center,2022-04-27,"Great care, friendly staff and easy parking"
211,9602,2,Pacific Medical,2023-01-28,"Friendly front desk, minimal wait time"
212,29799,4,Cascade Specialty Center,2024-11-23,"Friendly and fast, excellent experience"
213,22005,1,Mercy General,2024-03-26,Friendly staff but parking was difficult
214,28091,2,Pacific Medical,2024-10-08,Friendly nurses throughout my stay
215,21609,2,Pacific Medical,2024-03-16,Staff was friendly and professional
216,25530,2,Pacific Medical,2024-07-18,Parking was limited but wait was short
217,15994,1,Mercy General,2023-10-02,"Wait was typical, staff was okay"
218,43728,8,Spokane Specialty Center,2025-12-09,"Wait was typical, staff was okay"
219,28775,1,Mercy General,2024-10-27,"Great care, friendly staff and easy parking"
220,27704,8,Spokane Specialty Center,2024-09-25,"Good experience, moderate wait time"
221,28584,8,Spokane Specialty Center,2024-10-21,Parking took a while but staff friendly
222,15494,2,Pacific Medical,2023-09-07,"No wait at all, extremely friendly service"
223,4825,2,Pacific Medical,2022-07-23,"Wait was typical, staff was okay"
224,42723,5,Marina Clinic,2025-11-14,"Quick service, very friendly nursing staff"
225,4944,2,Pacific Medical,2022-08-03,Friendly staff but parking was difficult
226,7088,5,Marina Clinic,2022-11-06,Friendly staff made the visit very comfortable
227,9654,4,Cascade Specialty Center,2023-01-30,"Parking nearby, warm and friendly team"
228,23819,5,Marina Clinic,2024-05-26,"Parking was close, very friendly staff"
229,5922,8,Spokane Specialty Center,2022-09-16,"Friendly and fast, excellent experience"
230,15777,6,Sacramento Valley Hospital,2023-09-25,Parking took a while but staff friendly
231,43745,6,Sacramento Valley Hospital,2025-12-11,Wait was short and staff very friendly
232,37202,8,Spokane Specialty Center,2025-06-07,"Good experience, moderate wait time"
233,41820,2,Pacific Medical,2025-10-25,"Wait was brief, friendly professional staff"
234,5437,4,Cascade Specialty Center,2022-08-22,"Wait was manageable, friendly team"
235,9282,1,Mercy General,2023-01-13,"Quick service, very friendly nursing staff"
236,33162,8,Spokane Specialty Center,2025-02-14,"Good care overall, parking could improve"
237,1634,8,Spokane Specialty Center,2022-03-14,"Wait was manageable, friendly team"
238,9473,2,Pacific Medical,2023-01-19,Friendly staff made the visit very comfortable
239,41224,2,Pacific Medical,2025-10-04,"Parking near entrance, wait was average"
240,21597,7,Emerald Urgent Care,2024-03-17,"Friendly and fast, excellent experience"
241,8280,1,Mercy General,2022-12-17,"Friendly front desk, minimal wait time"
242,32950,3,Cascade Urgent Care,2025-02-05,Parking was limited but wait was short
243,36340,2,Pacific Medical,2025-05-12,"Hard to find parking, disappointing wait"
244,9445,6,Sacramento Valley Hospital,2023-01-23,Friendly staff but parking was difficult
245,20871,1,Mercy General,2024-02-20,"Good care overall, parking could improve"
246,13753,4,Cascade Specialty Center,2023-07-02,"Friendly care team, parking was convenient"
247,31718,1,Mercy General,2024-12-31,"Wait was typical, staff was okay"
248,31193,2,Pacific Medical,2024-12-20,"Friendly nurses, wait could be shorter"
249,36849,1,Mercy General,2025-05-28,"Wait was typical, staff was okay"
250,8414,2,Pacific Medical,2022-12-16,"Wait was reasonable, parking was fine"
251,28681,3,Cascade Urgent Care,2024-10-25,Friendly staff made the visit very comfortable
252,27553,3,Cascade Urgent Care,2024-09-23,"Average visit, parking was fine"
253,32656,4,Cascade Specialty Center,2025-01-28,Parking was available and the care was great
254,17712,1,Mercy General,2023-11-25,Wait was short and staff very friendly
255,36414,7,Emerald Urgent Care,2025-05-16,Parking took a while but staff friendly
256,15553,1,Mercy General,2023-09-14,"Good experience, moderate wait time"
257,38671,1,Mercy General,2025-07-19,Parking took a while but staff friendly
258,20268,6,Sacramento Valley Hospital,2024-02-05,Staff was friendly and professional
259,33248,1,Mercy General,2025-02-14,Friendly staff made the visit very comfortable
260,33986,1,Mercy General,2025-03-07,"Decent experience, wait a bit long"
261,38395,2,Pacific Medical,2025-07-10,The team was friendly and attentive
262,11328,2,Pacific Medical,2023-03-30,Parking was available and the care was great
263,9292,8,Spokane Specialty Center,2023-01-17,"Very friendly doctors, would recommend"
264,43156,7,Emerald Urgent Care,2025-11-28,Staff was friendly and professional
265,13875,2,Pacific Medical,2023-07-04,"Parking was a nightmare, long wait"
266,14790,1,Mercy General,2023-08-10,Friendly nurses throughout my stay
267,40945,2,Pacific Medical,2025-10-02,"Parking near entrance, wait was average"
268,6651,3,Cascade Urgent Care,2022-10-16,"Friendly nurses, wait could be shorter"
269,14120,8,Spokane Specialty Center,2023-07-15,"Parking was close, very friendly staff"
270,8508,6,Sacramento Valley Hospital,2022-12-22,"Parking near entrance, wait was average"
271,4195,2,Pacific Medical,2022-06-29,"Decent experience, wait a bit long"
272,27136,2,Pacific Medical,2024-09-05,Wait was short and staff very friendly
273,44546,2,Pacific Medical,2025-12-30,Parking was available and the care was great
274,41677,6,Sacramento Valley Hospital,2025-10-20,"No wait at all, extremely friendly service"
275,18830,1,Mercy General,2023-12-28,Parking was limited but wait was short
276,11459,1,Mercy General,2023-04-06,The team was friendly and attentive
277,31596,1,Mercy General,2024-12-27,Parking was limited but wait was short
278,23663,2,Pacific Medical,2024-05-22,Staff was friendly and professional
279,1418,8,Spokane Specialty Center,2022-03-06,"Good experience, moderate wait time"
280,33208,1,Mercy General,2025-02-15,"Parking difficult, wait longer than expected"
281,4934,1,Mercy General,2022-07-28,"Wait was brief, friendly professional staff"
282,21373,1,Mercy General,2024-03-08,"Friendly nurses, wait could be shorter"
283,38574,6,Sacramento Valley Hospital,2025-07-18,Staff was friendly and professional
284,18373,1,Mercy General,2023-12-12,"Good care overall, parking could improve"
285,7433,5,Marina Clinic,2022-11-14,Parking was easy and the staff was friendly
286,22998,5,Marina Clinic,2024-05-02,"Friendly care team, parking was convenient"
287,11723,2,Pacific Medical,2023-04-15,"Very friendly doctors, would recommend"
288,29214,2,Pacific Medical,2024-11-06,"Friendly nurses, wait could be shorter"
289,29127,2,Pacific Medical,2024-11-05,"Parking available, wait was acceptable"
290,21697,1,Mercy General,2024-03-18,"Wait was brief, friendly professional staff"
291,31037,4,Cascade Specialty Center,2024-12-21,Friendly staff made the visit very comfortable
292,32196,2,Pacific Medical,2025-01-11,"Good experience, moderate wait time"
293,6134,1,Mercy General,2022-09-28,Friendly staff but parking was difficult
294,36583,2,Pacific Medical,2025-05-19,"Good care overall, parking could improve"
295,34405,1,Mercy General,2025-03-18,"Friendly and fast, excellent experience"
296,16165,1,Mercy General,2023-10-05,"Average visit, parking was fine"
297,27863,5,Marina Clinic,2024-10-02,"Average visit, parking was fine"
298,28139,1,Mercy General,2024-10-10,Friendly staff but parking was difficult
299,421,5,Marina Clinic,2022-01-19,Wait was short and staff very friendly
300,44366,4,Cascade Specialty Center,2025-12-24,"Parking nearby, warm and friendly team"
301,28340,2,Pacific Medical,2024-10-17,"Friendly nurses, wait could be shorter"
302,41622,1,Mercy General,2025-10-22,"Friendly front desk, minimal wait time"
303,7297,1,Mercy General,2022-11-13,"Parking nearby, warm and friendly team"
304,16023,5,Marina Clinic,2023-10-01,Parking was available and the care was great
305,19287,3,Cascade Urgent Care,2024-01-08,"No wait at all, extremely friendly service"
306,1164,1,Mercy General,2022-02-17,"Average visit, parking was fine"
307,14944,2,Pacific Medical,2023-08-19,Friendly staff made the visit very comfortable
308,17835,2,Pacific Medical,2023-12-03,Parking was easy and the staff was friendly
309,13431,3,Cascade Urgent Care,2023-06-16,"Wait was typical, staff was okay"
310,6698,3,Cascade Urgent Care,2022-10-22,Parking was limited but wait was short
311,41425,3,Cascade Urgent Care,2025-10-10,"Parking was close, very friendly staff"
312,29322,1,Mercy General,2024-11-11,Parking was limited but wait was short
313,28254,2,Pacific Medical,2024-10-13,"Friendly nurses, wait could be shorter"
314,22246,1,Mercy General,2024-04-08,"Wait was brief, friendly professional staff"
315,25632,1,Mercy General,2024-07-22,"Wait was typical, staff was okay"
316,39436,4,Cascade Specialty Center,2025-08-15,"Parking was close, very friendly staff"
317,17161,4,Cascade Specialty Center,2023-11-12,Wait was short and staff very friendly
318,24488,3,Cascade Urgent Care,2024-06-17,Wait was short and staff very friendly
319,18256,1,Mercy General,2023-12-12,"Staff professional, some wait time"
320,15093,2,Pacific Medical,2023-08-23,The team was friendly and attentive
321,43873,3,Cascade Urgent Care,2025-12-10,"Quick service, very friendly nursing staff"
322,20918,2,Pacific Medical,2024-02-23,Friendly staff but parking was difficult
323,14935,6,Sacramento Valley Hospital,2023-08-18,Parking was limited but wait was short
324,12861,4,Cascade Specialty Center,2023-05-27,"Friendly doctor, clean and welcoming facility"
325,41416,1,Mercy General,2025-10-11,"Hard to find parking, disappointing wait"
326,37899,1,Mercy General,2025-06-26,"Wait was reasonable, parking was fine"
327,34704,1,Mercy General,2025-03-27,The team was friendly and attentive
328,32434,4,Cascade Specialty Center,2025-01-21,"Very friendly doctors, would recommend"
329,8825,4,Cascade Specialty Center,2023-01-03,The team was friendly and attentive
330,16175,1,Mercy General,2023-10-10,"Parking was close, very friendly staff"
331,25032,2,Pacific Medical,2024-06-29,The team was friendly and attentive
332,38138,1,Mercy General,2025-07-04,"Wait was typical, staff was okay"
333,20099,2,Pacific Medical,2024-01-27,"Wait was typical, staff was okay"
334,8037,3,Cascade Urgent Care,2022-12-09,Wait was short and staff very friendly
335,40556,1,Mercy General,2025-09-16,Friendly staff but parking was difficult
336,5593,2,Pacific Medical,2022-08-31,"Friendly front desk, minimal wait time"
337,33083,5,Marina Clinic,2025-02-11,Parking was limited but wait was short
338,25928,2,Pacific Medical,2024-07-26,Parking was limited but wait was short
339,34610,1,Mercy General,2025-03-25,"Wait was manageable, friendly team"
340,43965,4,Cascade Specialty Center,2025-12-14,"Average visit, parking was fine"
341,20777,1,Mercy General,2024-02-19,"Great care, friendly staff and easy parking"
342,3485,3,Cascade Urgent Care,2022-05-27,"Very friendly doctors, would recommend"
343,9901,2,Pacific Medical,2023-02-06,"Decent experience, wait a bit long"
344,44064,3,Cascade Urgent Care,2025-12-15,"Good experience, moderate wait time"
345,34514,2,Pacific Medical,2025-03-20,"Good experience, moderate wait time"
346,40966,3,Cascade Urgent Care,2025-09-29,Friendly nurses throughout my stay
347,20750,2,Pacific Medical,2024-02-16,"Parking nearby, warm and friendly team"
348,36728,2,Pacific Medical,2025-05-24,Parking took a while but staff friendly
349,964,2,Pacific Medical,2022-02-14,"Great care, friendly staff and easy parking"
350,10059,2,Pacific Medical,2023-02-13,"Good care overall, parking could improve"
351,44469,1,Mercy General,2025-12-27,Parking was terrible and wait was unacceptable
352,6005,1,Mercy General,2022-09-21,"Staff professional, some wait time"
353,30955,1,Mercy General,2024-12-19,"Average visit, parking was fine"
354,22815,6,Sacramento Valley Hospital,2024-04-21,"Wait was manageable, friendly team"
355,29876,2,Pacific Medical,2024-11-28,"Friendly doctor, clean and welcoming facility"
356,42618,8,Spokane Specialty Center,2025-11-13,Friendly staff made the visit very comfortable
357,14416,4,Cascade Specialty Center,2023-07-31,"Quick service, very friendly nursing staff"
358,1836,2,Pacific Medical,2022-03-25,"Wait was manageable, friendly team"
359,1571,1,Mercy General,2022-03-10,"Very long wait, staff not very friendly"
360,44317,1,Mercy General,2025-12-25,"Quick service, very friendly nursing staff"
361,25710,2,Pacific Medical,2024-07-20,Friendly staff but parking was difficult
362,41720,7,Emerald Urgent Care,2025-10-21,"Wait was manageable, friendly team"
363,4317,8,Spokane Specialty Center,2022-07-03,"Friendly care team, parking was convenient"
364,34369,2,Pacific Medical,2025-03-16,"Average visit, parking was fine"
365,34850,1,Mercy General,2025-03-31,"Friendly care team, parking was convenient"
366,8792,1,Mercy General,2022-12-31,Parking was easy and the staff was friendly
367,20870,1,Mercy General,2024-02-23,Long wait but friendly staff
368,30068,6,Sacramento Valley Hospital,2024-12-03,"Friendly nurses, wait could be shorter"
369,36711,1,Mercy General,2025-05-22,"Average visit, parking was fine"
370,15958,6,Sacramento Valley Hospital,2023-10-02,Parking was easy and the staff was friendly
371,8334,7,Emerald Urgent Care,2022-12-19,"Very friendly doctors, would recommend"
372,15753,5,Marina Clinic,2023-09-24,"Great care, friendly staff and easy parking"
