cis,nom_medicament,cause,classification,date_evenement,code_atc,molecule,laboratoire,nb_patients_ville,est_antihistaminique,annee,mois,trimestre,saison_allergies,cause_categorie
66788131,"clozapine arrow 100 mg, comprimé sécable","Augmentation du volume de vente, Défaut d'approvisionnement en Matière Première",rupture,2023-05-01,N05AH02,Clozapine,arrow generiques,3000.0,False,2023,5,2,1,Augmentation demande
63871860,"telmisartan/hydrochlorothiazide biogaran 40 mg/12,5 mg, comprimé",Autre,rupture,2023-08-10,C09DA07,Telmisartan et diurétiques,biogaran,20000.0,False,2023,8,3,0,Autre
69325964,"levmentin 500 mg/50 mg, poudre pour solution injectable/pour perfusion (iv)",Transfert de site,rupture,2022-03-14,J01CR02,Amoxicilline et inhibiteur de bêtalactamases,laboratoires delbert,200.0,False,2022,3,1,1,Autre
68429141,"rivotril 2 mg, comprimé quadrisécable",Capacité de production insuffisante,rupture,2023-01-13,N03AE01,Clonazépam,cheplapharm arzneimittel (allemagne),20000.0,False,2023,1,1,0,Capacite production
68429141,"rivotril 2 mg, comprimé quadrisécable",Défaut d'approvisionnement en Article de Conditionnement,rupture,2022-05-23,N03AE01,Clonazépam,cheplapharm arzneimittel (allemagne),20000.0,False,2022,5,2,1,Approvisionnement matiere
64392560,"actonel 35 mg, comprimé gastro-résistant",Défaut d'approvisionnement en Matière Première,rupture,2022-06-08,M05BA07,Acide risédronique,theramex ireland (irlande),70000.0,False,2022,6,2,1,Approvisionnement matiere
64392560,"actonel 35 mg, comprimé gastro-résistant",Défaut d'approvisionnement en Matière Première,rupture,2022-05-17,M05BA07,Acide risédronique,theramex ireland (irlande),70000.0,False,2022,5,2,1,Approvisionnement matiere
61184814,"dasatinib vivanta 100 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-07-26,L01EA02,Dasatinib,vivanta generics (république tchèque),50.0,False,2022,7,3,0,Capacite production
64008337,"foscarnet kabi 24 mg/ml, solution pour perfusion",Autre,rupture,2022-04-01,J05AD01,Foscarnet,fresenius kabi france,,False,2022,4,2,1,Autre
64222864,"dasatinib vivanta 140 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-05-11,L01EA02,Dasatinib,vivanta generics (république tchèque),,False,2022,5,2,1,Capacite production
64226503,"gestodene-ethinylestradiol teva 60 microgrammes/15 microgrammes, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-07-01,G03AA10,Gestodène et éthinylestradiol,teva sante,,False,2022,7,3,0,Capacite production
64727464,"amoxicilline zydus france 500 mg, gélule","Augmentation du volume de vente, Capacité de production insuffisante",rupture,2023-06-05,J01CA04,Amoxicilline,zydus france,50000.0,False,2023,6,2,1,Augmentation demande
61633586,"amoxicilline zydus 500 mg/5 ml, poudre pour suspension buvable","Capacité de production insuffisante, Augmentation du volume de vente",rupture,2022-10-13,J01CA04,Amoxicilline,zydus france,30000.0,False,2022,10,4,0,Augmentation demande
61633586,"amoxicilline zydus 500 mg/5 ml, poudre pour suspension buvable",Augmentation du volume de vente,rupture,2022-06-10,J01CA04,Amoxicilline,zydus france,30000.0,False,2022,6,2,1,Augmentation demande
65369123,"exforge hct 5 mg/160 mg/12,5 mg, comprimé pelliculé","Autre, Augmentation du volume de vente",rupture,2023-07-17,C09DX01,"Valsartan, amlodipine et hydrochlorothiazide",novartis europharm (irlande),,False,2023,7,3,0,Augmentation demande
65369123,"exforge hct 5 mg/160 mg/12,5 mg, comprimé pelliculé",Autre,rupture,2022-08-20,C09DX01,"Valsartan, amlodipine et hydrochlorothiazide",novartis europharm (irlande),,False,2022,8,3,0,Autre
67218807,"paracetamol krka 1000 mg, comprimé sécable",Problème de transport/logistique,rupture,2022-05-13,N02BE01,Paracétamol,krka (slovenie),100000.0,False,2022,5,2,1,Logistique
62486744,"zinc injectable 1 mg/ml, solution injectable à diluer pour perfusion",Défaut d'approvisionnement en Matière Première,rupture,2023-03-15,A12CB02,Gluconate de zinc,aguettant,,False,2023,3,1,1,Approvisionnement matiere
68332774,"gluconate de calcium proamp 10 %, solution injectable",Défaut d'approvisionnement en Matière Première,rupture,2023-01-15,B05XA19,Gluconate de calcium,aguettant,,False,2023,1,1,0,Approvisionnement matiere
62263143,"nutryelt, solution à diluer pour perfusion",Défaut d'approvisionnement en Matière Première,rupture,2023-01-15,B05XA30,Associations d'électrolytes,aguettant,10000.0,False,2023,1,1,0,Approvisionnement matiere
69998996,"junimin, solution à diluer pour perfusion",Défaut d'approvisionnement en Matière Première,rupture,2023-02-15,B05XA30,Associations d'électrolytes,aguettant,,False,2023,2,1,0,Approvisionnement matiere
64550843,"amoxicilline acide clavulanique almus 100 mg/12,5 mg par ml enfants, poudre pour suspension buvable (rapport amoxicilline/acide clavulanique : 8/1)",Difficulté réglementaire,rupture,2022-06-09,J01CR02,Amoxicilline et inhibiteur de bêtalactamases,almus france,10000.0,False,2022,6,2,1,Autre
69278297,"ketamine panpharma 50 mg/ml, solution injectable (i.v.-i.m.)",Augmentation du volume de vente,rupture,2022-05-25,N01AX03,Kétamine,panpharma,,False,2022,5,2,1,Augmentation demande
60009573,"paracetamol/codeine teva 500 mg/30 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2023-03-02,N02AJ06,Codéine et paracétamol,teva (pays-bas),70000.0,False,2023,3,1,1,Capacite production
62920265,"amlodipine zentiva 10 mg, gélule",Capacité de production insuffisante,rupture,2022-04-25,C08CA01,Amlodipine,zentiva france,60000.0,False,2022,4,2,1,Capacite production
68528958,"bromazepam zentiva 6 mg, comprimé quadrisécable",Capacité de production insuffisante,rupture,2022-12-05,N05BA08,Bromazépam,zentiva france,100000.0,False,2022,12,4,0,Capacite production
61571533,"gefitinib teva 250 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2023-05-19,L01EB01,Géfitinib,teva (pays-bas),20.0,False,2023,5,2,1,Capacite production
62159632,"atovaquone/proguanil teva 62,5 mg/25 mg enfants, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-06-14,P01BB51,Proguanil et atovaquone,teva sante,,False,2022,6,2,1,Capacite production
63585962,"vialebex 200 g/l, solution pour perfusion","Capacité de production insuffisante, Autre",rupture,2022-06-06,B05AA01,Albumine,lfb-biomedicaments,,False,2022,6,2,1,Capacite production
67117128,"tofranil 25 mg, comprimé enrobé",Augmentation du volume de vente,rupture,2022-04-22,N06AA02,Imipramine,amdipharm,1000.0,False,2022,4,2,1,Augmentation demande
67005296,"telmisartan/hydrochlorothiazide teva sante 80 mg/25 mg, comprimé","Augmentation du volume de vente, Capacité de production insuffisante",rupture,2023-11-13,C09DA07,Telmisartan et diurétiques,teva sante,10000.0,False,2023,11,4,0,Augmentation demande
67005296,"telmisartan/hydrochlorothiazide teva sante 80 mg/25 mg, comprimé","Augmentation du volume de vente, Capacité de production insuffisante",rupture,2023-08-25,C09DA07,Telmisartan et diurétiques,teva sante,10000.0,False,2023,8,3,0,Augmentation demande
67005296,"telmisartan/hydrochlorothiazide teva sante 80 mg/25 mg, comprimé",Capacité de production insuffisante,rupture,2022-09-23,C09DA07,Telmisartan et diurétiques,teva sante,10000.0,False,2022,9,3,0,Capacite production
68392159,"chlorure de sodium 20 % b. braun, solution à diluer injectable",Autre,rupture,2022-05-02,B05XA03,Chlorure de sodium,b braun melsungen,,False,2022,5,2,1,Autre
66104277,"ropivacaine b.braun 2 mg/ml, solution injectable/pour perfusion",Augmentation du volume de vente,rupture,2022-04-21,N01BB09,Ropivacaïne,b braun melsungen,,False,2022,4,2,1,Augmentation demande
69626437,"miochole 20 mg, poudre et solvant pour solution intraoculaire",Autre,rupture,2022-06-30,S01EB09,Acétylcholine,laboratoire chauvin,,False,2022,6,2,1,Autre
66390978,"risperidone sandoz 1 mg, comprimé orodispersible",Autre,rupture,2023-09-11,N05AX08,Rispéridone,sandoz,7000.0,False,2023,9,3,0,Autre
63140802,"indapamide sandoz lp 1,5 mg, comprimé pelliculé à libération prolongée",Autre,rupture,2023-11-20,C03BA11,Indapamide,sandoz,30000.0,False,2023,11,4,0,Autre
63140802,"indapamide sandoz lp 1,5 mg, comprimé pelliculé à libération prolongée",Autre,rupture,2023-05-15,C03BA11,Indapamide,sandoz,30000.0,False,2023,5,2,1,Autre
65681660,"amlodipine sandoz 5 mg, gélule",Autre,rupture,2024-04-29,C08CA01,Amlodipine,sandoz,200000.0,False,2024,4,2,1,Autre
61146240,"ropivacaine noridem 10 mg/ml, solution injectable",Capacité de production insuffisante,rupture,2022-05-05,N01BB09,Ropivacaïne,noridem,,False,2022,5,2,1,Capacite production
63866137,"uvadex 20 microgrammes/ml, solution pour la modification de la fraction sanguine",Difficulté réglementaire,rupture,2022-05-01,L03AX,AUTRES IMMUNOSTIMULANTS,therakos europe limited (irlande),,False,2022,5,2,1,Autre
68201593,"ultiva 1 mg, poudre pour solution injectable ou pour perfusion",Problème qualité : Analyse non conforme,rupture,2023-06-20,N01AH06,Rémifentanil,aspen pharma trading (irlande),,False,2023,6,2,1,Autre
68201593,"ultiva 1 mg, poudre pour solution injectable ou pour perfusion",Capacité de production insuffisante,rupture,2022-06-20,N01AH06,Rémifentanil,aspen pharma trading (irlande),,False,2022,6,2,1,Capacite production
62299972,"temgesic 0,3 mg/ml, solution injectable",Autre,rupture,2023-04-01,N02AE01,Buprénorphine,eumedica pharmaceuticals (allemagne),,False,2023,4,2,1,Autre
69536979,"levodopa/carbidopa/entacapone teva 175 mg/43,75 mg/200 mg, comprimé pelliculé",Augmentation du volume de vente,rupture,2024-09-06,N04BA03,"Lévodopa, inhibiteur de la décarboxylase et inhibiteur de la COMT",teva sante,100.0,False,2024,9,3,0,Augmentation demande
69536979,"levodopa/carbidopa/entacapone teva 175 mg/43,75 mg/200 mg, comprimé pelliculé",Autre,rupture,2023-07-20,N04BA03,"Lévodopa, inhibiteur de la décarboxylase et inhibiteur de la COMT",teva sante,100.0,False,2023,7,3,0,Autre
69536979,"levodopa/carbidopa/entacapone teva 175 mg/43,75 mg/200 mg, comprimé pelliculé",Défaut d'approvisionnement en Matière Première,rupture,2022-05-02,N04BA03,"Lévodopa, inhibiteur de la décarboxylase et inhibiteur de la COMT",teva sante,100.0,False,2022,5,2,1,Approvisionnement matiere
64802027,"spironolactone teva 25 mg, comprimé pelliculé sécable",Capacité de production insuffisante,rupture,2023-03-17,C03DA01,Spironolactone,teva sante,90000.0,False,2023,3,1,1,Capacite production
64802027,"spironolactone teva 25 mg, comprimé pelliculé sécable",Défaut d'approvisionnement en Matière Première,rupture,2022-10-03,C03DA01,Spironolactone,teva sante,90000.0,False,2022,10,4,0,Approvisionnement matiere
62159632,"atovaquone/proguanil teva 62,5 mg/25 mg enfants, comprimé pelliculé",Augmentation du volume de vente,rupture,2023-04-10,P01BB51,Proguanil et atovaquone,teva sante,,False,2023,4,2,1,Augmentation demande
63739307,"voriconazole stragen 50 mg, comprimé pelliculé",Défaut d'approvisionnement en Matière Première,rupture,2022-04-22,J02AC03,Voriconazole,stragen-france,,False,2022,4,2,1,Approvisionnement matiere
68528958,"bromazepam zentiva 6 mg, comprimé quadrisécable",Autre,rupture,2022-09-19,N05BA08,Bromazépam,zentiva france,100000.0,False,2022,9,3,0,Autre
63739307,"voriconazole stragen 50 mg, comprimé pelliculé",Autre,rupture,2022-11-30,J02AC03,Voriconazole,stragen-france,,False,2022,11,4,0,Autre
68528958,"bromazepam zentiva 6 mg, comprimé quadrisécable",Capacité de production insuffisante,rupture,2022-04-11,N05BA08,Bromazépam,zentiva france,100000.0,False,2022,4,2,1,Capacite production
63032883,"prasugrel zentiva lab 10 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-08-02,B01AC22,Prasugrel,zentiva france,1000.0,False,2022,8,3,0,Capacite production
63032883,"prasugrel zentiva lab 10 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-04-11,B01AC22,Prasugrel,zentiva france,1000.0,False,2022,4,2,1,Capacite production
65176633,"valsartan hydrochlorothiazide zentiva lab 80 mg/12,5 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-08-02,C09DA03,Valsartan et diurétiques,zentiva france,10000.0,False,2022,8,3,0,Capacite production
65176633,"valsartan hydrochlorothiazide zentiva lab 80 mg/12,5 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-04-25,C09DA03,Valsartan et diurétiques,zentiva france,10000.0,False,2022,4,2,1,Capacite production
63611923,"capecitabine arrow 150 mg, comprimé pelliculé",Difficulté réglementaire,rupture,2022-05-31,L01BC06,Capécitabine,eugia pharma (malta) (malte),300.0,False,2022,5,2,1,Autre
68520121,"oxycodone renaudin 1mg/ml, solution pour perfusion",Défaut d'approvisionnement en Article de Conditionnement,rupture,2022-05-02,N02AA05,Oxycodone,laboratoire renaudin,,False,2022,5,2,1,Approvisionnement matiere
65483098,"escitalopram arrow lab 10 mg, comprimé pelliculé sécable",Autre,rupture,2022-05-20,N06AB10,Escitalopram,arrow generiques,30000.0,False,2022,5,2,1,Autre
68989108,"indapamide zydus lp 1,5 mg, comprimé pelliculé à libération prolongée",Autre,rupture,2023-07-31,C03BA11,Indapamide,zydus france,6000.0,False,2023,7,3,0,Autre
60945259,"xylocaine 5 mg/ml sans conservateur, solution injectable",Autre,rupture,2022-08-30,N01BB02,Lidocaïne,aspen pharma trading (irlande),200000.0,False,2022,8,3,0,Autre
60945259,"xylocaine 5 mg/ml sans conservateur, solution injectable",Autre,rupture,2022-04-25,N01BB02,Lidocaïne,aspen pharma trading (irlande),200000.0,False,2022,4,2,1,Autre
60734372,"spironolactone sandoz 25 mg, comprimé pelliculé sécable",Autre,rupture,2022-07-08,C03DA01,Spironolactone,sandoz,80000.0,False,2022,7,3,0,Autre
64823509,"daonil 5 mg, comprimé sécable",Capacité de production insuffisante,rupture,2022-10-14,A10BB01,Glibenclamide,sanofi winthrop industrie,10000.0,False,2022,10,4,0,Capacite production
68850795,"aripiprazole teva 5 mg, comprimé","Augmentation du volume de vente, Autre",rupture,2024-01-30,N05AX12,Aripiprazole,teva sante,20000.0,False,2024,1,1,0,Augmentation demande
68850795,"aripiprazole teva 5 mg, comprimé",Capacité de production insuffisante,rupture,2022-06-10,N05AX12,Aripiprazole,teva sante,20000.0,False,2022,6,2,1,Capacite production
61397901,"atropine (sulfate) lavoisier 0,50 mg/ml, solution injectable",Défaut d'approvisionnement en Matière Première,rupture,2022-06-01,A03BA01,Atropine,chaix et du marais,,False,2022,6,2,1,Approvisionnement matiere
61397901,"atropine (sulfate) lavoisier 0,50 mg/ml, solution injectable",Défaut d'approvisionnement en Matière Première,rupture,2022-04-18,A03BA01,Atropine,chaix et du marais,,False,2022,4,2,1,Approvisionnement matiere
68808796,"ritaline l.p. 30 mg, gélule à libération prolongée",Augmentation du volume de vente,rupture,2024-04-11,N06BA04,Méthylphénidate,infectopharm arzneimittel und consilium (allemagne),10000.0,False,2024,4,2,1,Augmentation demande
68808796,"ritaline l.p. 30 mg, gélule à libération prolongée",Capacité de production insuffisante,rupture,2023-10-02,N06BA04,Méthylphénidate,infectopharm arzneimittel und consilium (allemagne),10000.0,False,2023,10,4,0,Capacite production
68609125,"voriconazole stragen 200 mg, comprimé pelliculé",Autre,rupture,2022-11-17,J02AC03,Voriconazole,stragen-france,30.0,False,2022,11,4,0,Autre
68609125,"voriconazole stragen 200 mg, comprimé pelliculé",Défaut d'approvisionnement en Matière Première,rupture,2022-04-22,J02AC03,Voriconazole,stragen-france,30.0,False,2022,4,2,1,Approvisionnement matiere
63730233,"fluoxetine almus 20 mg, gélule",Autre,rupture,2022-08-16,N06AB03,Fluoxétine,biogaran,9000.0,False,2022,8,3,0,Autre
63730233,"fluoxetine almus 20 mg, gélule",Difficulté réglementaire,rupture,2023-08-15,N06AB03,Fluoxétine,biogaran,9000.0,False,2023,8,3,0,Autre
68718427,"cystagon 50 mg, gélule",Transfert de site,rupture,2022-05-23,A16AA04,Mercaptamine,recordati rare diseases,,False,2022,5,2,1,Autre
68311869,"spiramycine cristers 3 m.u.i, comprimé pelliculé",Augmentation du volume de vente,rupture,2023-02-10,J01FA02,Spiramycine,cristers,5000.0,False,2023,2,1,0,Augmentation demande
68311869,"spiramycine cristers 3 m.u.i, comprimé pelliculé",Défaut d'approvisionnement en Matière Première,rupture,2022-08-09,J01FA02,Spiramycine,cristers,5000.0,False,2022,8,3,0,Approvisionnement matiere
62299972,"temgesic 0,3 mg/ml, solution injectable",Autre,rupture,2023-06-30,N02AE01,Buprénorphine,eumedica pharmaceuticals (allemagne),,False,2023,6,2,1,Autre
68311869,"spiramycine cristers 3 m.u.i, comprimé pelliculé",Défaut d'approvisionnement en Matière Première,rupture,2022-05-31,J01FA02,Spiramycine,cristers,5000.0,False,2022,5,2,1,Approvisionnement matiere
61883472,"atropine (sulfate) lavoisier 1 mg/ml, solution injectable",Défaut d'approvisionnement en Matière Première,rupture,2022-06-01,A03BA01,Atropine,chaix et du marais,,False,2022,6,2,1,Approvisionnement matiere
66082820,"metformine zydus 1000 mg, comprimé pelliculé sécable",Augmentation du volume de vente,rupture,2023-08-07,A10BA02,Metformine,zydus france,30000.0,False,2023,8,3,0,Augmentation demande
66082820,"metformine zydus 1000 mg, comprimé pelliculé sécable",Difficulté réglementaire,rupture,2022-05-25,A10BA02,Metformine,zydus france,30000.0,False,2022,5,2,1,Autre
69902323,"tahor 20 mg, comprimé pelliculé","Augmentation du volume de vente, Capacité de production insuffisante",rupture,2023-04-27,C10AA05,Atorvastatine,viatris up,80000.0,False,2023,4,2,1,Augmentation demande
69902323,"tahor 20 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2023-02-14,C10AA05,Atorvastatine,viatris up,80000.0,False,2023,2,1,0,Capacite production
69902323,"tahor 20 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-12-20,C10AA05,Atorvastatine,viatris up,80000.0,False,2022,12,4,0,Capacite production
69902323,"tahor 20 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-06-03,C10AA05,Atorvastatine,viatris up,80000.0,False,2022,6,2,1,Capacite production
61276216,"bipreterax 5 mg/1,25 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-10-03,C09BA04,Perindopril et diurétiques,les laboratoires servier,200000.0,False,2022,10,4,0,Capacite production
61276216,"bipreterax 5 mg/1,25 mg, comprimé pelliculé",Capacité de production insuffisante,rupture,2022-07-06,C09BA04,Perindopril et diurétiques,les laboratoires servier,200000.0,False,2022,7,3,0,Capacite production
61387348,"lansoprazole teva sante 15 mg, gélule gastro-résistante",Augmentation du volume de vente,rupture,2022-07-12,A02BC03,Lansoprazole,teva sante,100000.0,False,2022,7,3,0,Augmentation demande
63819739,"zolmitriptan teva sante 2,5 mg, comprimé pelliculé","Augmentation du volume de vente, Défaut d'approvisionnement en Article de Conditionnement",rupture,2023-01-26,N02CC03,Zolmitriptan,teva sante,10000.0,False,2023,1,1,0,Augmentation demande
63819739,"zolmitriptan teva sante 2,5 mg, comprimé pelliculé",Augmentation du volume de vente,rupture,2022-06-07,N02CC03,Zolmitriptan,teva sante,10000.0,False,2022,6,2,1,Augmentation demande
62361751,"savene 20 mg/ml, poudre et solvant pour solution à diluer pour perfusion.","Autre, Augmentation du volume de vente",rupture,2022-07-01,V03AF02,Dexrazoxane,cnx therapeutics ireland limited (irlande),,False,2022,7,3,0,Augmentation demande
61806426,"armisarte 25 mg/ml, solution à diluer pour perfusion",Capacité de production insuffisante,rupture,2023-02-14,L01BA04,Pémétrexed,actavis group ptc (islande),,False,2023,2,1,0,Capacite production
61806426,"armisarte 25 mg/ml, solution à diluer pour perfusion",Augmentation du volume de vente,rupture,2023-01-02,L01BA04,Pémétrexed,actavis group ptc (islande),,False,2023,1,1,0,Augmentation demande
67945023,"ovaleap 450 ui/0,75 ml, solution injectable",Problème de transport/logistique,rupture,2022-05-30,G03GA05,Follitropine alfa,theramex ireland (irlande),2000.0,False,2022,5,2,1,Logistique
60567418,"visipaque 320 mg d'i/ml, solution injectable",Difficulté réglementaire,rupture,2024-03-01,V08AB09,Iodixanol,ge healthcare,200000.0,False,2024,3,1,1,Autre
60567418,"visipaque 320 mg d'i/ml, solution injectable",Autre,rupture,2022-07-18,V08AB09,Iodixanol,ge healthcare,200000.0,False,2022,7,3,0,Autre
60567418,"visipaque 320 mg d'i/ml, solution injectable",Autre,rupture,2022-07-25,V08AB09,Iodixanol,ge healthcare,200000.0,False,2022,7,3,0,Autre
60567418,"visipaque 320 mg d'i/ml, solution injectable",Autre,rupture,2022-06-27,V08AB09,Iodixanol,ge healthcare,200000.0,False,2022,6,2,1,Autre
60567418,"visipaque 320 mg d'i/ml, solution injectable",Autre,rupture,2022-07-04,V08AB09,Iodixanol,ge healthcare,200000.0,False,2022,7,3,0,Autre
60567418,"visipaque 320 mg d'i/ml, solution injectable",Autre,rupture,2022-07-06,V08AB09,Iodixanol,ge healthcare,200000.0,False,2022,7,3,0,Autre
68311869,"spiramycine cristers 3 m.u.i, comprimé pelliculé",Augmentation du volume de vente,rupture,2023-02-10,J01FA02,Spiramycine,cristers,5000.0,False,2023,2,1,0,Augmentation demande
62514713,"azithromycine cristers 250 mg, comprimé pelliculé",Augmentation du volume de vente,rupture,2022-05-27,J01FA10,Azithromycine,cristers,40000.0,False,2022,5,2,1,Augmentation demande
68001016,"raloxifene sandoz 60 mg, comprimé pelliculé",Autre,rupture,2022-07-04,G03XC01,Raloxifène,sandoz,10000.0,False,2022,7,3,0,Autre
62514713,"azithromycine cristers 250 mg, comprimé pelliculé",Augmentation du volume de vente,rupture,2023-02-15,J01FA10,Azithromycine,cristers,40000.0,False,2023,2,1,0,Augmentation demande
66718898,"ezetimibe sandoz 10 mg, comprimé",Autre,rupture,2023-11-20,C10AX09,Ezétimibe,sandoz,80000.0,False,2023,11,4,0,Autre
66718898,"ezetimibe sandoz 10 mg, comprimé",Capacité de production insuffisante,rupture,2023-09-25,C10AX09,Ezétimibe,sandoz,80000.0,False,2023,9,3,0,Capacite production
66718898,"ezetimibe sandoz 10 mg, comprimé",Autre,rupture,2023-03-13,C10AX09,Ezétimibe,sandoz,80000.0,False,2023,3,1,1,Autre
66718898,"ezetimibe sandoz 10 mg, comprimé",Autre,rupture,2023-03-06,C10AX09,Ezétimibe,sandoz,80000.0,False,2023,3,1,1,Autre
