titre,date_creation,date_maj,date_debut,date_fin,statut,type_produit,domaine_medical,url_ansm,dci_extraite,nom_commercial,dci_norm,annee_debut,mois_debut,annee_mois,en_cours,is_rupture,is_tension,loaded_at,source,ATC1,ATC2,ATC3,ATC4,ATC5,L_ATC5,ATC4_source
"Cardioxane 500 mg, poudre pour solution pour perfusion – [dexrazoxane (chlorhydrate de)]",2026-04-16,2026-06-04,2026-04-10,,Tension d'approvisionnement,Médicaments,Oncologie/Radiothérapie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cardioxane-500-mg-poudre-pour-solution-pour-perfusion-dexrazoxane-chlorhydrate-de,dexrazoxane (chlorhydrate de),"Cardioxane 500 mg, poudre pour solution pour perfusion",dexrazoxane,2026,4,2026-04,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Bosentan 125 mg, comprimé pelliculé – [bosentan monohydraté]",2026-04-16,2026-06-03,2026-03-17,,Tension d'approvisionnement,Médicaments,Cardiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/bosentan-125-mg-comprime-pellicule-bosentan-monohydrate,bosentan monohydraté,"Bosentan 125 mg, comprimé pelliculé",bosentan monohydraté,2026,3,2026-03,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Tenormine 5 mg/10 ml, solution injectable IV en ampoule – [aténolol]",2026-04-17,2026-06-01,2026-04-14,,Rupture de stock,Médicaments,Cardiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tenormine-5-mg-10-ml-solution-injectable-iv-en-ampoule-atenolol,aténolol,"Tenormine 5 mg/10 ml, solution injectable IV en ampoule",aténolol,2026,4,2026-04,1,1,0,20260608,ANSM_DISPO_2026,,,,,,,
"Spécialités à base de propranolol 40 mg, comprimé – [chlorhydrate de propranolol]",2025-12-12,2026-05-29,2025-11-27,,Tension d'approvisionnement,Médicaments,Cardiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-propranolol-40-mg-comprime-chlorhydrate-de-propranolol,chlorhydrate de propranolol,"Spécialités à base de propranolol 40 mg, comprimé",chlorhydrate de propranolol,2025,11,2025-11,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Parlodel 2,5 mg, comprimé sécable – [bromocriptine (mésilate de)]",2026-03-13,2026-05-29,2026-05-29,2026-05-29,Remise à disposition,Médicaments,"Endocrinologie, Neurologie",https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/parlodel-2-5-mg-comprime-secable-bromocriptine-mesilate-de,bromocriptine (mésilate de),"Parlodel 2,5 mg, comprimé sécable",bromocriptine,2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,,,,
"Rovamycine 1,5 millions UI, lyophilisat pour usage parentéral – [spiramycine]",2026-01-23,2026-05-28,2026-01-06,,Tension d'approvisionnement,Médicaments,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rovamycine-1-5-millions-ui-lyophilisat-pour-usage-parenteral-spiramycine,spiramycine,"Rovamycine 1,5 millions UI, lyophilisat pour usage parentéral",spiramycine,2026,1,2026-01,1,0,1,20260608,ANSM_DISPO_2026,J,J01,J01F,J01FA,J01FA02,SPIRAMYCINE,openmedic_join
"Extencilline 1,2 MUI, poudre et solvant pour suspension injectable IM – [benzathine benzylpénicilline]",2026-01-28,2026-05-28,2026-05-04,2026-05-04,Remise à disposition,Médicaments,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/extencilline-1-2-mui-poudre-et-solvant-pour-suspension-injectable-im-benzathine-benzylpenicilline,benzathine benzylpénicilline,"Extencilline 1,2 MUI, poudre et solvant pour suspension injectable IM",benzathine benzylpénicilline,2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,J01,,,fallback_domaine
"Extencilline 2,4 MUI, poudre et solvant pour suspension injectable IM – [benzathine benzylpénicilline]",2026-01-28,2026-05-28,2026-05-04,2026-05-04,Remise à disposition,Médicaments,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/extencilline-2-4-mui-poudre-et-solvant-pour-suspension-injectable-im-benzathine-benzylpenicilline,benzathine benzylpénicilline,"Extencilline 2,4 MUI, poudre et solvant pour suspension injectable IM",benzathine benzylpénicilline,2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,J01,,,fallback_domaine
"Cimzia 200 mg, solution injectable en stylo prérempli – [certolizumab pégol]",2026-05-27,,2026-05-11,,Tension d'approvisionnement,Médicaments,Immunologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cimzia-200-mg-solution-injectable-en-stylo-prerempli-certolizumab-pegol,certolizumab pégol,"Cimzia 200 mg, solution injectable en stylo prérempli",certolizumab pégol,2026,5,2026-05,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Synacthène 0,25 mg/1 ml, solution injectable – [tétracosactide]",2026-03-30,2026-05-27,2025-11-01,,Tension d'approvisionnement,Médicaments,"Endocrinologie, Neurologie",https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/synacthene-0-25-mg-1-ml-solution-injectable-tetracosactide,tétracosactide,"Synacthène 0,25 mg/1 ml, solution injectable",tétracosactide,2025,11,2025-11,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Gardénal 50 mg, comprimé – [phénobarbital]",2026-05-26,,2026-04-14,,Tension d'approvisionnement,Médicaments,Neurologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/gardenal-50-mg-comprime-phenobarbital,phénobarbital,"Gardénal 50 mg, comprimé",phénobarbital,2026,4,2026-04,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Zyvoxid 100 mg/5 ml, granulés pour suspension buvable – [linézolide]",2026-05-26,,2026-05-26,,Rupture de stock,Médicaments,Pneumologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zyvoxid-100-mg-5-ml-granules-pour-suspension-buvable-linezolide,linézolide,"Zyvoxid 100 mg/5 ml, granulés pour suspension buvable",linézolide,2026,5,2026-05,1,1,0,20260608,ANSM_DISPO_2026,,,,R03,,,fallback_domaine
"Ambrisentan Teva 5 mg, comprimé pelliculé – [ambrisentan]",2026-05-26,,2026-04-29,,Rupture de stock,Médicaments,Pneumologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ambrisentan-teva-5-mg-comprime-pellicule-ambrisentan,ambrisentan,"Ambrisentan Teva 5 mg, comprimé pelliculé",ambrisentan,2026,4,2026-04,1,1,0,20260608,ANSM_DISPO_2026,,,,R03,,,fallback_domaine
"Ambrisentan Viatris 5 mg et 10 mg, comprimé pelliculé – [ambrisentan]",2026-05-26,,2026-05-06,,Tension d'approvisionnement,Médicaments,Pneumologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ambrisentan-viatris-5mg-et-10-mg-comprime-pellicule-ambrisentan,ambrisentan,"Ambrisentan Viatris 5 mg et 10 mg, comprimé pelliculé",ambrisentan,2026,5,2026-05,1,0,1,20260608,ANSM_DISPO_2026,,,,R03,,,fallback_domaine
"Zentel 400 mg, comprimé et Zentel 0,4 g/10 mL, suspension buvable – [albendazole]",2026-05-26,,2025-10-06,,Tension d'approvisionnement,Médicaments,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zentel-400-mg-comprime-et-zentel-0-4-g-10-ml-suspension-buvable-albendazole,albendazole,"Zentel 400 mg, comprimé et Zentel 0,4 g/10 mL, suspension buvable",albendazole,2025,10,2025-10,1,0,1,20260608,ANSM_DISPO_2026,,,,J01,,,fallback_domaine
"Eskazole 400 mg, comprimé – [albendazole]",2026-05-26,,2025-10-20,,Tension d'approvisionnement,Médicaments,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/eskazole-400-mg-comprime-albendazole,albendazole,"Eskazole 400 mg, comprimé",albendazole,2025,10,2025-10,1,0,1,20260608,ANSM_DISPO_2026,,,,J01,,,fallback_domaine
"Alepsal, comprimé – [caféine / phénobarbital]",2026-03-12,2026-05-26,2026-01-02,,Tension d'approvisionnement,Médicaments,Neurologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/alepsal-comprime-cafeine-phenobarbital,caféine / phénobarbital,"Alepsal, comprimé",caféine / phénobarbital,2026,1,2026-01,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Betneval 0,1 %, crème – [bétaméthasone (valérate de)]",2026-04-08,2026-05-26,2026-04-03,,Tension d'approvisionnement,Médicaments,Dermatologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/betneval-0-1-creme-betamethasone-valerate-de,bétaméthasone (valérate de),"Betneval 0,1 %, crème",bétaméthasone,2026,4,2026-04,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Etopophos 100 mg, lyophilisat pour usage parentéral – [étoposide]",2026-04-09,2026-05-26,2026-05-26,2026-05-26,Remise à disposition,Médicaments,"Hématologie, Oncologie/Radiothérapie",https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/etopophos-100-mg-lyophilisat-pour-usage-parenteral-etoposide,étoposide,"Etopophos 100 mg, lyophilisat pour usage parentéral",étoposide,2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,,,,
"Gluconate Glucoheptonate de Calcium AP-HP, solution à diluer pour perfusion – [gluconate glucoheptonate de calcium]",2026-05-22,,2026-05-22,,Tension d'approvisionnement,Médicaments,Hépato-gastroentérologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/gluconate-glucoheptonate-de-calcium-ap-hp-solution-a-diluer-pour-perfusion-gluconate-glucoheptonate-de-calcium,gluconate glucoheptonate de calcium,Gluconate Glucoheptonate de Calcium AP,gluconate glucoheptonate de calcium,2026,5,2026-05,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Novorapid Pumpcart 100 unités/ml, solution injectable en cartouche – [insuline asparte ((levure/saccharomyces cerevisiae))]",2025-07-03,2026-05-22,2025-06-20,,Tension d'approvisionnement,Médicaments,Endocrinologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/novorapid-pumpcart-100-unites-ml-solution-injectable-en-cartouche-insuline-asparte-levure-saccharomyces-cerevisiae,insuline asparte ((levure/saccharomyces cerevisiae)),"Novorapid Pumpcart 100 unités/ml, solution injectable en cartouche",insuline asparte),2025,6,2025-06,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Izalgi 500 mg/25 mg, gélule – [opium (poudre d'), paracétamol]",2026-01-16,2026-05-22,2025-10-01,,Tension d'approvisionnement,Médicaments,Traitement de la douleur,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/izalgi-500-mg-25-mg-gelule-opium-poudre-d-paracetamol,"opium (poudre d'), paracétamol","Izalgi 500 mg/25 mg, gélule","opium, paracétamol",2025,10,2025-10,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Mydriaticum 2 mg/0,4 ml, collyre en récipient unidose – [tropicamide]",2026-01-29,2026-05-22,2026-01-20,,Tension d'approvisionnement,Médicaments,Ophtalmologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/mydriaticum-2-mg-0-4-ml-collyre-en-recipient-unidose-tropicamide,tropicamide,"Mydriaticum 2 mg/0,4 ml, collyre en récipient unidose",tropicamide,2026,1,2026-01,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Levmentin 1 g/200 mg, poudre pour solution injectable/pour perfusion (IV) – [amoxicilline sodique, potassium (clavulanate de)]",2026-02-13,2026-05-22,2026-05-22,2026-05-22,Remise à disposition,Médicaments,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/levmentin-1-g-200-mg-poudre-pour-solution-injectable-pour-perfusion-iv-amoxicilline-sodique-potassium-clavulanate-de,"amoxicilline sodique, potassium (clavulanate de)","Levmentin 1 g/200 mg, poudre pour solution injectable/pour perfusion (IV)","amoxicilline sodique, potassium",2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,J01,,,fallback_domaine
"Acide acétylsalicylique 75 mg, , comprimé gastro-résistant – [acide acétylsalicylique]",2026-05-21,,2026-05-18,,Tension d'approvisionnement,Médicaments,Cardiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/acide-acetylsalicylique-75-mg-comprime-gastro-resistant-acide-acetylsalicylique,acide acétylsalicylique,"Acide acétylsalicylique 75 mg, , comprimé gastro",acide acétylsalicylique,2026,5,2026-05,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Tranxène 20 mg/2 ml, lyophilisat et solution pour usage parentéral – [clorazépate dipotassique]",2024-10-03,2026-05-21,2024-10-02,,Rupture de stock,Médicaments,Psychiatrie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tranxene-20-mg-2-ml-lyophilisat-et-solution-pour-usage-parenteral-clorazepate-dipotassique,clorazépate dipotassique,"Tranxène 20 mg/2 ml, lyophilisat et solution pour usage parentéral",clorazépate dipotassique,2024,10,2024-10,1,1,0,20260608,ANSM_DISPO_2026,,,,,,,
"Hydrocortisone Upjohn 100 mg, préparation injectable – [hydrocortisone (hydrogénosuccinate sodique d')]",2023-10-20,2026-05-21,2026-05-21,2026-05-21,Remise à disposition,Médicaments,Endocrinologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/hydrocortisone-upjohn-100-mg-preparation-injectable-hydrocortisone-hydrogenosuccinate-sodique-d,hydrocortisone (hydrogénosuccinate sodique d'),"Hydrocortisone Upjohn 100 mg, préparation injectable",hydrocortisone,2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,,,,
"Rifater, comprimé enrobé – [isoniazide, pyrazinamid, rifampicine]",2024-03-22,2026-05-21,2024-03-21,,Tension d'approvisionnement,Médicaments,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rifater-comprime-enrobe-isoniazide-pyrazinamid-rifampicine,"isoniazide, pyrazinamid, rifampicine","Rifater, comprimé enrobé","isoniazide, pyrazinamid, rifampicine",2024,3,2024-03,1,0,1,20260608,ANSM_DISPO_2026,,,,J01,,,fallback_domaine
"Depo Prodasone 500 mg, suspension injectable – [médroxyprogestérone]",2025-08-11,2026-05-20,2025-08-08,,Tension d'approvisionnement,Médicaments,Oncologie/Radiothérapie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/depo-prodasone-500-mg-suspension-injectable-medroxyprogesterone,médroxyprogestérone,"Depo Prodasone 500 mg, suspension injectable",médroxyprogestérone,2025,8,2025-08,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Megace 160 mg, comprimé – [mégestrol (acétate de)]",2025-11-13,2026-05-20,2025-11-04,,Rupture de stock,Médicaments,Oncologie/Radiothérapie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/megace-160-mg-comprime-megestrol-acetate-de,mégestrol (acétate de),"Megace 160 mg, comprimé",mégestrol,2025,11,2025-11,1,1,0,20260608,ANSM_DISPO_2026,,,,,,,
"Tétracaïne 1% Théa, collyre en solution en récipient unidose – [chlorhydrate de tétracaïne]",2026-01-26,2026-05-20,2025-10-22,,Rupture de stock,Médicaments,Ophtalmologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tetracaine-1-thea-collyre-en-solution-en-recipient-unidose-chlorhydrate-de-tetracaine,chlorhydrate de tétracaïne,"Tétracaïne 1% Théa, collyre en solution en récipient unidose",chlorhydrate de tétracaïne,2025,10,2025-10,1,1,0,20260608,ANSM_DISPO_2026,,,,,,,
"Norfloxacine EG 400 mg, comprimé pelliculé – [norfloxacine]",2026-03-30,2026-05-20,2026-05-20,2026-05-20,Remise à disposition,Médicaments,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/norfloxacine-eg-400-mg-comprime-pellicule-norfloxacine,norfloxacine,"Norfloxacine EG 400 mg, comprimé pelliculé",norfloxacine,2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,J01,,,fallback_domaine
"Endoxan 50 mg, comprimé enrobé – [cyclophosphamide]",2025-09-24,2026-05-19,2025-07-07,,Tension d'approvisionnement,Médicaments,"Oncologie/Radiothérapie, Rhumatologie",https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/endoxan-50-mg-comprime-enrobe-cyclophosphamide,cyclophosphamide,"Endoxan 50 mg, comprimé enrobé",cyclophosphamide,2025,7,2025-07,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Vancomycine Viatris 125 mg, poudre pour solution à diluer pour perfusion-vancomycine – [chlorhydrate de]",2025-03-18,2026-05-19,2026-05-07,2026-05-07,Remise à disposition,Dispositifs médicaux,Infectiologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/vancomycine-viatris-125-mg-poudre-pour-solution-a-diluer-pour-perfusion-vancomycine-chlorhydrate-de,chlorhydrate de,"Vancomycine Viatris 125 mg, poudre pour solution à diluer pour perfusion",chlorhydrate de,2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,J01,,,fallback_domaine
"Miochole 20 mg, poudre et solvant pour solution intraoculaire – [chlorure d'acétylcholine]",2025-05-28,2026-05-18,2025-05-22,,Tension d'approvisionnement,Médicaments,Ophtalmologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/miochole-20-mg-poudre-et-solvant-pour-solution-intraoculaire-chlorure-dacetylcholine,chlorure d'acétylcholine,"Miochole 20 mg, poudre et solvant pour solution intraoculaire",chlorure d'acétylcholine,2025,5,2025-05,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Fiasp Pumpcart 100 unités/ml, solution injectable en cartouche – [insuline asparte (levure/saccharomyces cerevisiae)]",2025-07-07,2026-05-18,2026-05-15,2026-05-15,Remise à disposition,Médicaments,Endocrinologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fiasp-pumpcart-100-unites-ml-solution-injectable-en-cartouche-insuline-asparte-levure-saccharomyces-cerevisiae,insuline asparte (levure/saccharomyces cerevisiae),"Fiasp Pumpcart 100 unités/ml, solution injectable en cartouche",insuline asparte,2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,,,,
"Fiasp Flextouch 100 unités/ml, solution injectable en stylo prérempli – [insuline asparte ((levure/saccharomyces cerevisiae))]",2025-07-17,2026-05-18,2026-05-15,2026-05-15,Remise à disposition,Médicaments,Endocrinologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fiasp-flextouch-100-unites-ml-solution-injectable-en-stylo-prerempli-insuline-asparte-levure-saccharomyces-cerevisiae,insuline asparte ((levure/saccharomyces cerevisiae)),"Fiasp Flextouch 100 unités/ml, solution injectable en stylo prérempli",insuline asparte),2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,,,,
"Persantine 10 mg/2 mL, solution injectable, ampoule – [dipyridamole]",2026-03-20,2026-05-18,2026-05-18,2026-05-18,Remise à disposition,Médicaments,"Imagerie/Radiologie, Cardiologie, Médecine nucléaire",https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/persantine-10-mg-2-ml-solution-injectable-ampoule-dipyridamole,dipyridamole,"Persantine 10 mg/2 mL, solution injectable, ampoule",dipyridamole,2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,,,,
"Néosynéphrine 10 % Faure, collyre en récipient unidose – [phényléphrine]",2025-11-19,2026-05-18,2025-10-13,,Rupture de stock,Médicaments,Ophtalmologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/neosynephrine-10-faure-collyre-en-recipient-unidose-phenylephrine,phényléphrine,"Néosynéphrine 10 % Faure, collyre en récipient unidose",phényléphrine,2025,10,2025-10,1,1,0,20260608,ANSM_DISPO_2026,,,,,,,
"Kenacort Retard 40 mg/1 ml, suspension injectable – [triamcinolone (acétonide de)]",2026-02-18,2026-05-18,2026-02-17,,Tension d'approvisionnement,Médicaments,"Dermatologie, Rhumatologie",https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/kenacort-retard-40-mg-1-ml-suspension-injectable-triamcinolone-acetonide-de,triamcinolone (acétonide de),"Kenacort Retard 40 mg/1 ml, suspension injectable",triamcinolone,2026,2,2026-02,1,0,1,20260608,ANSM_DISPO_2026,,,,,,,
"Toujeo 300 unités/ml DoubleStar, solution injectable en stylo prérempli – [insuline glargine ((bactérie/Escherichia Coli))]",2026-04-01,2026-05-18,2026-05-15,2026-05-15,Remise à disposition,Médicaments,Endocrinologie,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/toujeo-300-unites-ml-doublestar-solution-injectable-en-stylo-prerempli-insuline-glargine-bacterie-escherichia-coli,insuline glargine ((bactérie/Escherichia Coli)),"Toujeo 300 unités/ml DoubleStar, solution injectable en stylo prérempli",insuline glargine),2026,5,2026-05,0,0,0,20260608,ANSM_DISPO_2026,,,,,,,
